Nutrient,Unit,Value_per_100_g
Water,g,79.25
Energy,kcal,77
Protein,g,2.05
Total lipid (fat),g,0.09
"Carbohydrate, by difference",g,17.49
"Fiber, total dietary",g,2.1
"Sugars, total",g,0.82
"Calcium, Ca",mg,12
"Iron, Fe",mg,0.81
"Magnesium, Mg",mg,23
"Phosphorus, P",mg,57
"Potassium, K",mg,425
"Sodium, Na",mg,6
"Zinc, Zn",mg,0.3
"Vitamin C, total ascorbic acid",mg,19.7
Thiamin,mg,0.081
Riboflavin,mg,0.032
Niacin,mg,1.061
Vitamin B-6,mg,0.298
"Folate, DFE",µg,15
Vitamin B-12,µg,0
"Vitamin A, RAE",µg,0
"Vitamin A, IU",IU,2
Vitamin E (alpha-tocopherol),mg,0.01
Vitamin D (D2 + D3),µg,0
Vitamin D,IU,0
Vitamin K (phylloquinone),µg,2
"Fatty acids, total saturated",g,0.025
"Fatty acids, total monounsaturated",g,0.002
"Fatty acids, total polyunsaturated",g,0.042
"Fatty acids, total trans",g,0
Cholesterol,mg,0
Caffeine,mg,0
